24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Card Name,Short Name,Types,Attack Type,Damage Type,Damage,Minimum Range,Range,Move Points,Duration,Trigger,Keep,Trigger Effect,Trigger 2,Keep 2,Trigger Effect 2,Text,Flavor Text,Play Text,Trigger Text,Trigger Attempt Text,Trigger Succeed Text,Trigger Fail Text,Trigger Text 2,Trigger Attempt Text 2,Trigger Succeed Text 2,Trigger Fail Text 2,Component1,Params1,Component2,Params2,Component3,Params3,Component4,Params4,Component5,Params5,Params,Plus Minus,Quality,Quality Warrior,Quality Priest,Quality Wizard,Quality Dwarf,Quality Elf,Quality Human,Rarity,Function Tags,Attachment Image,Status,Audio Key,Audio Key 2,Set,Level,Slots,Art,,,,,,,,
339,Weak Block,,Block,,,,,,,,3,8,Block,,,,,"""There is a limit to how much force can be absorbed by wood and steel before bone and meat feel the effects."" -Padrig the Impious",,<u>Block any</u> with damage 4 or less.,<taa> raises a weak arm to *block* the attack -,,but fails!,,,,,BlockComponent,damageMax=4,,,,,,,,,unplayable,-,C,C,C,C,,,,Common,,,Implemented,BLOCK,,0,1,"Weapon,Divine Weapon,Staff,Shield,Martial Skill,Dwarf Skill,Human Skill",Done,,,,,,,,
340,Hard to Pin Down,Hard to Pin,"Block,Move",,,,,,3,,3,8,Block,,,,,That was a close one!,<aia> *hustles away*,<u>Block any</u>.,<taa> tries to *block* the attack -,<tta> *slips away*!,but fails!,,,,,BlockComponent,,MoveComponent,,,,,,,,,,B,B,B,A,,,,Uncommon,,,Implemented,RUN,BLOCK,0,6,"Boots,Shield,Elf Skill",Done,,,,,,,,
341,Surging Shield Block,Surging Block,"Block,Move",,,,,,2,,4,8,Block,,,,,Shield wall... Charrrrrge! ,<aia> *moves.*,"<u>Block any</u>. If this card blocks, you Move 2.",<taa> tries to *block* the attack -,,but fails!,,,,,BlockComponent,moveSelf=2,MoveComponent,,,,,,,,,,B,B,B,B,,,,Rare,,,Implemented,WALK,BLOCK,0,6,"Weapon,Divine Weapon,Staff,Shield,Martial Skill",Done,,,,,,,,
342,Air Dance,,Move,,,,,,3,,,,,,,,<u>Free Move</u>.,"Animate, self aware swords are almost as terrifying as singing swords. Almost.",<aia> *bobs and weaves* through the air.,,,,,,,,,MoveComponent,freeMove=true,,,,,,,,,,,B,,,,,,,Common,,,Implemented,,,0,,,Done,,,,,,,,
343,Blaze,,Move,,,,,,7,2,,,,,,,"<u>Free Move</u>. Every step in this Move must be in the same direction. At the end of this Move, place Fire Terrain in each square moved through (at the start of each round, every character in or adjacent to this square takes 10 Fire damage). Duration 2.",,"<aia> *charges!*, leaving a trail of fire behind!",,,,,,,,,MoveComponent,freeMove=true;charge,,,,,,,,,,,A,A,A,A,,,,Common,,FireTerrain,,RUN,,0,19,Boots,Done,,,,,,,,
344,Brachiation,,Move,,,,,,5,,,,,,,,"Move in a straight line. <u>Fly</u>. At the end of the move, if there is a character in the next square, do 2 Crushing Melee damage to that character for every square moved. <u>Unblockable</u>.",,<aia> *swings rapidly* through the air!,,,,,,,,,MoveComponent,charge;fly,MoveDamageComponent,damagePerUnit=2,,,,,,,,,B,,,,,,,Common,,,Implemented,,,0,,,Done,,,,,,,,
345,Bull Rush,,Move,,,,,,4,,,,,,,,"Move in a straight line. At the end of the move, if there is a character in the next square, do 2 Crushing Melee damage to that character for every square moved. <u>Unblockable</u>.",,<aia> *charges!*,,,,,,,,,MoveComponent,charge,MoveDamageComponent,damagePerUnit=2,,,,,,,,,C,,,,,,,Uncommon,,,Implemented,RUN,,0,,,Done,,,,,,,,
346,Cautious Sneak,Cautious Snk.,Move,,,,,,3,,,,,,,,You must end this Move adjacent to blocking terrain.,"""Moving in the open invites Death's gaze."" -Ranjyn the Hunter",<aia> *sneaks cautiously*,,,,,,,,,MoveComponent,endAdjacentToBlocking,,,,,,,,,,-,C,D,C,C,,,,Uncommon,,,Implemented,WALK,,0,3,"Boots,Robes,Martial Skill,Elf Skill,Human Skill",Done,,,,,,,,
347,Charge,,Move,,,,,,5,,,,,,,,"Move in a straight line. At the end of the move, if there is a character in the next square, do 1 Crushing Melee damage to that character for every square moved. <u>Unblockable</u>.",,<aia> *charges!*,,,,,,,,,MoveComponent,charge,MoveDamageComponent,damagePerUnit=1,,,,,,,,,C,C,C,D,,,,Uncommon,,,Implemented,RUN,,0,6,"Boots,Martial Skill,Elf Skill,Dwarf Skill",Done,,,,,,,,
348,Dangerous Maneuver,Danger. Move,Move,,,,,,4,,,,,,,,"If you end this Move adjacent to an enemy, you take 3 Piercing damage.","""I'm going to try something I saw once in a play...""",<aia> *maneuvers into place*,,,,,,,,,MoveComponent,,AdjacentEndMoveComponent,damageForEnemies=3,,,,,,,,,D,D,D,D,,,,Rare,,,Implemented,RUN,,0,3,"Boots,Robes,Martial Skill,Elf Skill",Done,,,,,,,,
349,Dash,,Move,,,,,,4,,,,,,,,,Let your rapidity be that of the wind -Sun Tzu,<aia> *dashes*,,,,,,,,,MoveComponent,,,,,,,,,,,+,C,C,C,C,,,,Uncommon,,,Implemented,RUN,,0,1,"Boots,Robes,Martial Skill,Elf Skill",Done,,,,,,,,
350,Elvish Mobility,Elf Mobility,Move,,,,,,,,,,,,,,"Every Elf may Move 2, <u>Free Move</u>. This Move ignores Encumber effects. <u>Unblockable</u>.","Unnaturally fluid and light, the Elven host was amongst us in the time it took to take but a single breath.",<aia> lets the *Elves move freely.*,,,,,,,,,EveryActorComponent,race=Elf;alliesFirst,MoveTargetComponent,movePoints=2;freeMove;ownerControls;targetInstigates;ignoreEncumber,,,,,,,dontProvokeTurn;unblockable,,B,C,B,B,,,,Uncommon,,,Implemented,WALK,,0,6,Elf Skill,Done,,,,,,,,
351,Escaping Run,,Move,,,,,,3,,,,,,,,"If an enemy is adjacent to you when you start this Move, draw a card.",,<aia> *runs*,,,,,,,,,SelfDrawAdjacentEnemyComponent,drawNumber=1,MoveComponent,,,,,,,,,,B,B,B,B,,,,Rare,,,Implemented,RUN,,0,6,"Boots,Robes,Martial Skill,Elf Skill,Human Skill",Done,,,,,,,,
352,Fly,,Move,,,,,,4,,,,,,,,<u>Fly</u>.,Dragon's wings do not always appear to be able to support their weight. Don't be fooled.,<aia> *takes wing.*,,,,,,,,,MoveComponent,fly=true,,,,,,,,,,,A,,,,,,,Rare,,,Implemented,FLY,,0,,Boots,HOLD,,,,,,,,
353,Monkey Maneuver,M. Maneuver,Move,,,,,,4,,,,,,,,<u>Push 1</u> other allies.,,"<aia> *runs, and each of <aia_herhis> allies takes a step.*",,,,,,,,,MoveComponent,,AlliesComponent,excludeGroup=true,MoveTargetComponent,movePoints=1,,,,,,,B,,,,,,,Common,,,Implemented,RUN,,0,,,Done,,,,,,,,
354,Muscle Through,Musc. Through,Move,,,,,,2,,,,,,,,<u>Free Move</u>. <u>Slide 1</u> every character adjacent to you at the end of this Move. <u>Unblockable</u>.,,<aia> *muscles* <aia_herhis> way through,,,,,,,,,MoveComponent,freeMove=true,AdjacentEndMoveComponent,movePoints=1;slide,,,,,,,dontProvokeTurn,,A,A,A,B,A,B,A,Uncommon,,,Implemented,RUN,,0,9,"Boots,Robes,Martial Skill,Elf Skill,Dwarf Skill",Done,,,,,,,,
355,Positioning Move,Position. Move,Move,,,,,,5,,,,,,,,Draw a card for every enemy adjacent to you at the end of this Move.,,<aia> *moves into position*,,,,,,,,,MoveComponent,,AdjacentEndMoveComponent,drawsPerEnemy=1,,,,,,,,,AA,AA,A,B,,,,Rare,,,Implemented,RUN,,0,7,"Boots,Robes,Martial Skill,Elf Skill",Done,,,,,,,,
356,Run,,Move,,,,,,3,,,,,,,,,Sometimes running is the best option... Sometimes it's the only option.,<aia> *runs*,,,,,,,,,MoveComponent,,,,,,,,,,,,C,C,C,C,,,,Common,,,Implemented,RUN,,0,1,"Boots,Robes,Martial Skill,Elf Skill,Human Skill",Done,,,,,,,,
357,Scamper,,Move,,,,,,3,,,,,,,,<u>Free Move</u>.,"""Don't think of them as obstacles, think of them as... Creative opportunities."" -Nianne of Burntree Vale",<aia> *scampers*,,,,,,,,,MoveComponent,freeMove=true,,,,,,,,,,,A,,,,,,,Common,,,Implemented,RUN,,0,16,"Boots,Robes,Martial Skill,Elf Skill",Done,,,,,,,,
358,Scouting Run,,Attack,,,,,6,,,,,,,,,Reveal target's hand then Move 3.,A smart elf is never next to you unless he knows you can't attack.,<aia> *scouts*,,,,,,,,,TargetActorComponent,,RevealHandComponent,,SelfMoveComponent,movePoints=3,,,,,,-,C,,,,,,,Uncommon,,,Implemented,RUN,,0,7,Elf Skill,Done,,,,,,,,
359,Scuttle,,Move,,,,,,2,,,,,,,,<u>Free Move</u>.,Move like the crab and nothing will stop you reaching your goal. Eventually.,<aia> *scuttles*,,,,,,,,,MoveComponent,freeMove=true,,,,,,,,,,,B,,,,,,,Uncommon,,,Implemented,RUN,,0,,,Done,,,,,,,,
360,Shuffle,,Move,,,,,,1,,,,,,,,,"""Squire, if you don't want to shuffle off this mortal coil, you had better shuffle on over here!"" -Captain Cedric",<aia> *shuffles*,,,,,,,,,MoveComponent,,,,,,,,,,,-,D,D,D,D,,,,Common,,,Implemented,WALK,,0,1,"Boots,Robes,Martial Skill,Elf Skill,Human Skill,Dwarf Skill",Done,,,,,,,,
361,Spin Around,,Move,,,,,,,,,,,,,,Change your facing. Draw a card.,"""Before you maggots learn to swing a sword, you're going to learn to dance. Stop sniggering, this will save your life one day."" -Captain Cedric",<aia> *spins around*,,,,,,,,,PivotComponent,,DrawOnResolveComponent,,,,,,,,,,B,B,B,B,,,,Common,,,Implemented,,,0,7,"Boots,Robes,Martial Skill,Elf Skill,Human Skill,Dwarf Skill",Done,,,,,,,,
362,Sprint,,Move,,,,,,8,,,,,,,,,"Run as if your life depends on it. Because as of right now, it does.",<aia> *sprints*,,,,,,,,,MoveComponent,,,,,,,,,,,,B,B,B,B,,,,Common,,,Implemented,RUN,,0,1,"Boots,Robes,Martial Skill,Elf Skill",Done,,,,,,,,
363,Team Walk,,Move,,,,,,2,,,,,,,,Other allies Move 2.,"""Come, companions... We move like ghosts, but more importantly, we move now!"" -Stanter Callman","<aia> *walks, along with all of <aia_herhis> allies!*",,,,,,,,,MoveComponent,,AlliesComponent,excludeGroup=true,MoveTargetComponent,movePoints=2;ownerControls;targetInstigates,,,,,dontProvokeTurn,+,A,,,,,,,Rare,,,Implemented,RUN,,0,11,"Boots,Martial Skill,Human Skill",Done,,,,,,,,
364,Team Shift,,Move,,,,,,4,,,,,,,,Other allies Move 1.,"""Forward then, we will be right behind you!"" -Classic Henchman lie","<aia> *runs, and each of <aia_herhis> allies takes a step.*",,,,,,,,,MoveComponent,,AlliesComponent,excludeGroup=true,MoveTargetComponent,movePoints=1;ownerControls;targetInstigates,,,,,dontProvokeTurn,,A,,,,,,,Uncommon,,,Implemented,RUN,,0,11,"Boots,Martial Skill,Human Skill",Done,,,,,,,,
365,Violent Spin,,Move,,,,,,3,,,, ,,,,<u>Push 2</u> every character adjacent to you at the start of this Move. <u>Unblockable</u>.,,<aia> *spins violently*,,,,,,,,,AffectAdjacentComponent,range=1,MoveTargetComponent,movePoints=2;audioKey=Crushing,MoveComponent,,,,,,dontProvokeTurn;unblockable,,A,A,A,B,A,B,A,Rare,,,Implemented,RUN,,0,1,"Boots,Weapon,Human Skill,Dwarf Skill,Elf Skill",Done,,,,,,,,
366,Walk,,Move,,,,,,2,,,,,,,,,A journey of a thousand miles begins with a single step - or two.,<aia> *walks*,,,,,,,,,MoveComponent,,,,,,,,,,,+,D,D,D,D,,,,Common,,,Implemented,WALK,,0,1,"Boots,Staff,Human Skill,Elf Skill,Martial Skill",done,,,,,,,,
367,Wild Run,,Move,,,,,,8,,,,,,,,Discard your oldest card. ,"He who fights and runs away, had better run pretty fast.",<aia> *is out of control!*,,,,,,,,,MoveComponent,,DiscardWhenPlayedComponent,discardNumber=1;optional,,,,,,,,+,D,D,D,D,,,,Rare,,,Implemented,RUN,,0,1,"Boots,Robes,Martial Skill,Elf Skill",Done,,,,,,,,
368,Energizing Move,Energize Move,"Move,Boost",,,,,,4,,0,0,Boost,,,,,,<aia> *moves energetically*,"Whenever you play a Move card, add 2 move points to that move. Does not affect Step Moves. <u>Keep</u>.",,*<tta> takes two extra steps!*,,,,,,MoveComponent,,MoveBoostComponent,moveBoost=2;excludeSteps,,,,,,,,,B,B,B,B,,,,Rare,,,Implemented,RUN,BOOST,0,12,"Boots,Robes,Elf Skill",Done,,,,,,,,
369,Teleport Self,,"Move,Boost",,,,,,4,,0,0,Boost,,,,<u>Teleport</u>. ,,<aia> *teleports*,"Whenever you play a Move card, that Move gains <u>Teleport</u>. <u>Keep</u>.",,<tta> *teleports!*,,,,,,MoveComponent,teleport,MoveBoostComponent,teleport,,,,,,,,,A,A,B,A,,,,Uncommon,,,Implemented,TELEPORT,BOOST,0,16,"Arcane Item,Boots,Arcane Skill",Done,,,,,,,,
370,Dodge,,"Move,Boost",,,,,,2,,5,0,Boost,,,,,"If you can't be tough, be somewhere else.",<aia> *hops about.*,"When targeted by an enemy Attack from the front, Move 1. <u>Keep</u>.",<tta> tries to dodge...,,but fails!,,,,,MoveOnTargetedComponent,movePoints=1;cardTypes=Attack;enemiesOnly,MoveComponent,,,,,,,,,,C,,,,,,,Rare,,,Implemented,RUN,DODGE,0,7,"Shield,Robes,Weapon,Human Skill,Elf Skill,Helmet",Done,,,,,,,,
371,Jump Back,,"Move,Boost",,,,,,2,,3,0,Boost,,,,,Pray it's far enough... ,<aia> *hops*.,"When targeted by an enemy Attack from the front, Move back 2. <u>Keep</u>.",<taa> tries to jump back...,,but fails!,,,,,MoveOnTargetedComponent,movePoints=2;cardTypes=Attack;mustMoveBack;enemiesOnly,MoveComponent,,,,,,,,,,B,C,C,B,,,,Uncommon,,,Implemented,RUN,DODGE,0,6,"Boots,Shield,Staff,Robes,Weapon,Elf Skill",Done,,,,,,,,
372,Monkey Dodge,Monkey Ddg.,"Move,Boost",,,,,,2,,4,0,Boost,,,,,"Hold still, accursed ape!",<aia> *hops about.*,"When targeted by an enemy Attack, Move 1. <u>Keep</u>.",<taa> tries to dodge...,,but fails!,,,,,MoveOnTargetedComponent,movePoints=1;cardTypes=Attack;triggerRoll=3;discardRoll=4;enemiesOnly,MoveComponent,,,,,,,,C,,C,,,,,,,Common,,,Implemented,RUN,DODGE,0,,,Done,,,,,,,,
373,Reflexive Teleport,Reflexive Tport,"Move,Boost",,,,,,2,,5,0,Boost,,,,<u>Teleport</u>. ,,<aia> *teleports*,"When targeted by an enemy Attack from the front, Move 2 <u>Teleport</u>. <u>Keep</u>.",,"<tta> is there one moment, but *gone the next!*",<tta> fails to teleport away.,,,,,MoveOnTargetedComponent,movePoints=2;cardTypes=Attack;teleport;enemiesOnly,MoveComponent,teleport,,,,,,,,,A,B,B,A,,,,Common,,,Implemented,TELEPORT,DODGE,0,7,"Robes,Boots,Shield,Staff,Arcane Item",Done,,,,,,,,
374,Arcane Feedback,Arcane Feedb.,"Attack,Handicap",Magic,Arcane,1,,4,,,0,0,Handicap,,,,,"""Never, EVER think of yourself when channelling arcane energies..."" -Halpin Halfstaff",<aia> rids <aia_herselfhimself> of a *Arcane Feedback*,"At the start of each round, take 1 point of Arcane damage. <u>Keep</u>.",,<tta> succumbs to *Arcane Feedback.*,,,,,,TargetedDamageComponent,,DamageAtStartComponent,damage=1;damageType=Arcane,,,,,,,,,E,E,E,E,,,,Common,Harmful,,Implemented,ARCANE,HANDICAP,0,4,"Weapon,Boots,Shield,Divine Item,Divine Weapon,Divine Armor,Heavy Armor,Arcane Item,Helmet,Staff,Robes,Arcane Skill",Done,,,,,,,,
375,Bad For Them,,Boost,,,,,,,,0,8,Boost,,,,,"""If it is a kindness to share, then let me be kind to you all."" -Vek The Vile",,"When you play a Magic card that targets a single enemy, it also targets the two closest  allies of that target.",,<tta>'s spell *affects two extra foes!*,,,,,,AddTargetComponent,attackType=Magic;targetEnemy;addNumber=2,,,,,,,,,unplayable,,A,D,C,A,,,,Rare,,,Implemented,BOOST,,0,15,Arcane Skill,Done,,,,,,,,
376,Contagion,,Boost,,,,,,,,0,8,Boost,,,,,,,"When you play a Magic card with a duration that targets a single character, that card also targets the two closest allies of that target.",,<ttas> magic *spreads to others*!,,,,,,AddTargetComponent,attackType=Magic;hasDuration;addNumber=2,,,,,,,,,unplayable,,A,D,A,B,,,,Rare,,,Implemented,BOOST,,0,15,Divine Skill,Done,,,,,,,,
377,Empower,,Boost,,,,,,,,0,8,Boost,,,,,"The secret of spell power lies not in control, but in the practiced release of control.",,Double the damage of any Magic Attack you play.,,<tta> doubles the damage with a *burst of arcane might!*,,,,,,DamageMultiplyComponent,cardType=Attack;attackType=Magic;multiplier=2,,,,,,,,,unplayable,+,D,D,D,D,,,,Rare,,,Implemented,BOOST,,0,21,Arcane Skill,Done,,,,,,,,
378,Enlarge,,Boost,,,,,,,,0,8,Boost,,,,,,,When you play a Magic card that targets a single character or square add Burst 1 to it (or add 1 to existing Burst).,,<tta>'s magic *bursts!*,,,,,,EnlargeComponent,attackType=Magic,,,,,,,,,unplayable,,C,D,C,C,,,,Rare,,,Implemented,BOOST,,0,9,Arcane Skill,Done,,,,,,,,
379,Fork,,Boost,,,,,,,,0,8,Boost,,,,,,,"When you play a Magic card that targets a single character, that card also targets the closest ally of that target.",,<tta>'s magic *forks to a second target!*,,,,,,AddTargetComponent,attackType=Magic,,,,,,,,,unplayable,,B,D,B,B,,,,Rare,,,Implemented,BOOST,,0,15,Arcane Skill,Done,,,,,,,,
380,Good For Us,,Boost,,,,,,,,0,8,Boost,,,,,Hooray for our side!,,"When you play a Magic card that targets a single ally, it also targets the two closest allies of that target.",,<tta>'s spell *affects every ally in the battle!*,,,,,,AddTargetComponent,attackType=Magic;targetAlly;addNumber=2,,,,,,,,,unplayable,,A,D,A,C,,,,Rare,,,Implemented,BOOST,,0,15,Arcane Skill,Done,,,,,,,,
381,Lesser Contagion,Less. Contag.,Boost,,,,,,,,0,8,Boost,,,,,,,"When you play a Magic card with a duration that targets a single character, that card also targets the closest ally of that target. If there is more than one such ally , target a random ally.",,<ttas> magic *spreads to another*!,,,,,,AddTargetComponent,attackType=Magic;hasDuration,,,,,,,,,unplayable,,B,D,B,C,,,,Uncommon,,,Implemented,BOOST,,0,15,Divine Skill,Done,,,,,,,,
382,Maze of the Mind,Maze of Mind,Boost,,,,,,,,0,8,Boost,,,,,,,"When an enemy within 5 spaces plays a Move card, you control the destination of that Move. Discard this card.",,<tta> *mazes* <taa>!,,,,,,ControlMoveComponent,range=5;discardRoll=8,,,,,,,,,unplayable,,A,A,A,A,,,,Rare,,,Implemented,BOOST,,0,37,"Arcane Item,Robes",Done,,,,,,,,
383,Memorisation,,Boost,,,,,,,,5,0,Boost,,,,,"The warlock squeezed my brain like a ripe Tangerine, forcing out my plans like pulp and pips.",,"When you play a Magic card, put a copy of that card in your hand. <u>Keep</u>.",<taa> tries to commit the spell to memory...,,but fails!,,,,,ReturnToHandTriggerComponent,attackType=Magic,,,,,,,,,unplayable,,A,D,B,A,,,,Uncommon,,,Implemented,BOOST,,0,25,Arcane Skill,Done,,,,,,,,
384,Readiness,,Boost,,,,,,,,5,0,Boost,,,,,,,"Whenever an enemy you can see attacks you, draw a card. <u>Keep</u>.",,<tta> was *ready* for that!,,,,,,DrawOnTargetedComponent,cardTypes=Attack;enemiesOnly,,,,,,,,,unplayable,,A,A,B,C,,,,Uncommon,,,Implemented,BOOST,,0,17,"Helmet,Dwarf Skill",Done,,,,,,,,
385,Slowed,,"Move,Handicap",,,,,,0,,-3,0,Handicap,,,,,"""Don't you dare make me run..."" -Dzedd Grimsong. ",,<u>Encumber 1</u>. <u>Saving Roll</u>. <u>Keep</u>.,,<tta> is *extremely slow.*,...and manages not to slow down en route.,,,,,MoveComponent,,EncumberComponent,encumber=1,,,,,,,,,E,E,E,E,,,,Common,,,Implemented,WALK,HANDICAP,0,5,"Weapon,Boots,Shield,Divine Item,Divine Weapon,Divine Armor,Heavy Armor,Arcane Item,Helmet,Staff,Robes,Dwarf Skill,Human Skill",Done,,,,,,,,
386,Unfortunate Surge,Unfort. Surge,Handicap,,,,,,,,0,0,Handicap,,,,,"""Sometimes the rhythm of magic goes your way, sometimes it makes up its own mind."" -Anjin of Oeld",<aia> rids <aia_herselfhimself> of an *Unfortunate Surge*,"When you take damage, take an additional 2 points of damage. <u>Keep</u>.",,<tta> *takes extra damage!*,,,,,,TriggeredExtraDamageComponent,damageAdd=2,,,,,,,,,unplayable,,E,E,E,E,,,,Common,Harmful,,,HANDICAP,,0,21,"Weapon,Boots,Shield,Divine Item,Divine Weapon,Divine Armor,Heavy Armor,Arcane Item,Robes,Helmet,Staff,Arcane Skill,Divine Skill,Martial Skill",Done,,,,,,,,
387,Supercharged Breath,Super. Breath,Boost,,,,,,,,0,8,Boost,,,,,"He huffed, he puffed and I really don't like where this is going.",,Double the damage of Breath Attacks.,,<tta> *doubles the electrical damage* of the breath!,,,,,,DamageMultiplyComponent,cardType=Attack;attackType=Magic;multiplier=2,,,,,,,,,unplayable,,B,,,,,,,Common,,,Implemented,BOOST,,0,,,Done,,,,,,,,
388,Simian Reflexes,Simian Reflx.,Boost,,,,,,,,4,0,Boost,,,,,,,"Whenever an enemy you can see attacks you, draw a card. You may act again this turn.<u>Keep</u>.",,<tta> was *ready* for that!,,,,,,DrawOnTargetedComponent,cardTypes=Attack;enemiesOnly;restoreActionPoints,,,,,,,,,unplayable,,A,,,,,,,Common,,,Implemented,BOOST,,0,,"Helmet,Elf Skill",Done,,,,,,,,
389,Attractive,,Boost,,,,,,,2,,,Boost,,,,<u>Trait</u>. Attach this card to yourself. Duration 2.,,,"At the start of each round, <u>Push 1</u> all characters within 5 squares. Characters must move closer to you. ",,,,,,,,DrawOnResolveComponent,,EveryActorComponent,within=5,MoveTargetComponent,movePoints=1,,,,,trait;dontProvokeTurn,,A,A,B,D,,,,Common,,,,GOOD_TRAIT,BOOST,0,14,Human Skill,Done,,,,,,,,
390,Blind Rage,,"Boost,Handicap",,,,,,,2,,,Handicap,,,,"<u>Trait</u>. Attach this card to yourself. <u>Melee Frenzy 2</u>. At the start of each round, take 3 Psychic Magic damage for each Attack card in your hand. This damage cannot be prevented by Armor. Duration 2.",,<aia> goes into a *blind rage!*,,,,,,,,,DrawOnResolveComponent,,AttachToSelfComponent,,DamageAddComponent,attackType=Melee;add=2;attachedOnly,AttachedCardCountDamageComponent,cardType=Attack;damagePerCard=3;attackTypeToInflict=Magic;damageTypeToInflict=Psychic;blockedByArmor=false,,,trait,,D,D,D,D,,,,Rare,,,Implemented,BAD_TRAIT,HANDICAP,0,6,"Weapon,Divine Weapon,Dwarf Skill,Helmet",Done,,,,,,,,
391,Brain Burn,,Handicap,,,,,,,,,,,,,,<u>Trait</u>. Reveal all Magic cards in your hand. Take two Arcane Magic damage for each card revealed this way.,"The mind can only take so much. Know your limits, Apprentice.",<aia> *burns <aia_herhis> brain*.  Ow!,,,,,,,,,DrawOnResolveComponent,,RevealHandAndDamageComponent,affectsInstigator;attackType=Magic;damagePerCard=2;damageTypeToApply=Arcane;attackTypeToApply=Magic,,,,,,,trait,,E,D,E,E,,,,Common,,,Implemented,BAD_TRAIT,,0,5,"Arcane Item,Divine Item,Robes,Divine Weapon,Divine Armor,Robes,Staff",Done,,,,,,,,
392,Combustible,,Handicap,,,,,,,3,0,0,Handicap,,,,<u>Trait</u>. Attach this card to yourself. Duration 3.,,<aia> becomes *flammable*.,"When you take Fire damage, add 3 to that damage. <u>Keep</u>.",,<tta> *catches fire!*,,,,,,DrawOnResolveComponent,,AttachToSelfComponent,,TriggeredExtraDamageComponent,attachedOnly;damageAdd=3;damageTypes=Fire,,,,,trait,,E,E,E,E,,,,Common,,,Implemented,BAD_TRAIT,HANDICAP,0,5,"Weapon,Boots,Shield,Divine Item,Divine Weapon,Divine Armor,Heavy Armor,Arcane Item,Helmet,Staff,Robes",Done,,,,,,,,
393,Cowardly,,Handicap,,,,,,,,,,,,,,<u>Trait</u>. Discard all Attack cards.,"""I remember just thinking that if I didn't annoy it, it might not kill me."" -Dzedd Grimsong",<aia> is a complete *coward*.,,,,,,,,,DrawOnResolveComponent,,SelfDiscardByTypeComponent,cardTypes=Attack,,,,,,,trait,,E,E,E,E,,,,Common,,,Implemented,BAD_TRAIT,,0,5,"Weapon,Boots,Shield,Divine Item,Divine Weapon,Divine Armor,Heavy Armor,Arcane Item,Helmet,Staff,Robes,Elf Skill,Dwarf Skill,Human Skill",Done,,,,,,,,
394,Death Meld,,Boost,,,,,,,3,0,,Boost,,,,<u>Trait</u>. Attach this card to yourself. Duration 3.,,,"When you die, all allies within three squares <u>Heal 8</u>.",,<tta> dies and *melds* with <tta_herhis> fellows,,,,,,DrawOnResolveComponent,,AttachToSelfComponent,,AttachedHealOnDeathComponent,selfTrigger;healAmount=8;includeAllies;radius=3,,,,,trait,,D,,,,,,,Common,Harmful,,Implemented,GOOD_TRAIT,BOOST,0,,,Done,,,,,,,,
395,Defensiveness,,Handicap,,,,,,,2,-5,0,Handicap,,,,<u>Trait</u>. Attach this card to yourself. Duration 2.,,<aia> *dares not cast spells* when enemies are near.,"When you play a Magic card, if an Enemy is within 2 squares, cancel that card. <u>Saving Roll</u>. <u>Keep</u>.",,<tta> *ruins a spell* because enemies are too close!,,,,,,DrawOnResolveComponent,,AttachToSelfComponent,,CancelWhenPlayedComponent,attackType=Magic;enemyTriggerDistance=2,,,,,trait,,E,D,E,E,,,,Common,,,Implemented,BAD_TRAIT,HANDICAP,0,5,"Arcane Item,Divine Item,Robes,Divine Weapon,Divine Armor,Staff,Arcane Skill,Divine Skill",Done,,,,,,,,
398,Dropped Guard,Dropped Grd.,Handicap,,,,,,,,,,,,,,<u>Trait</u>. Discard all Block and Armor cards.,"""The moment your attention strays is the moment I end your life."" -Bethan of the Icy Rage",<aia> *forgets about defense.*,,,,,,,,,SelfDiscardByTypeComponent,"cardTypes=Block,Armor",DrawOnResolveComponent,,,,,,,,trait,,E,E,E,E,,,,Common,,,Implemented,BAD_TRAIT,,0,5,"Weapon,Divine Item,Shield,Heavy Armor,Divine Armor,Robes",Done,,,,,,,,
399,Easily Daunted,,Handicap,,,,,,,3,,,Handicap,,,,<u>Trait</u>. Attach this card to yourself. Duration 3.,,<aia> is easily *spooked by death*,"When an ally dies, discard your 2 oldest cards.  ",,<tta> is *terrified* of death!,,,,,,DrawOnResolveComponent,,AttachToSelfComponent,,,,,,,,trait,,D,D,D,D,,,,Uncommon,,,,BAD_TRAIT,HANDICAP,0,9,"Weapon,Boots,Shield,Divine Item,Divine Weapon,Divine Armor,Heavy Armor,Arcane Item,Helmet,Staff,Robes",,,,,,,,,
400,Festering Guts,,Handicap,,,,,,,3,0,,Handicap,,,,<u>Trait</u>. Attach this card to yourself. Duration 3.,,,"When you die, deal 18 Acid damage to all characters within 2  squares.",,,,,,,,DrawOnResolveComponent,,AttachToSelfComponent,,AttachedDamageOnDeathComponent,selfTrigger;damage=18;damageType=Acid;radius=2,,,,,trait,,D,,,,,,,Common,Harmful,,Implemented,BAD_TRAIT,HANDICAP,0,,,Done,,,,,,,,
